feature,importance,fold
ORGANIZATION_TYPE_Industry: type 11,0.0023720757489024288,1
ORGANIZATION_TYPE_Industry: type 12,0.02900703463909992,1
ORGANIZATION_TYPE_Industry: type 13,0.0,1
ORGANIZATION_TYPE_Industry: type 2,0.0055747617785389504,1
ORGANIZATION_TYPE_Industry: type 3,0.001166011556669831,1
ORGANIZATION_TYPE_Industry: type 4,0.0012158347250581518,1
ORGANIZATION_TYPE_Industry: type 5,0.007339644595524843,1
ORGANIZATION_TYPE_Industry: type 6,0.0,1
ORGANIZATION_TYPE_Industry: type 7,0.009515063690902234,1
ORGANIZATION_TYPE_Industry: type 8,0.0008707274535313834,1
ORGANIZATION_TYPE_Industry: type 9,0.2268477343576871,1
ORGANIZATION_TYPE_Insurance,0.03457851646164701,1
ORGANIZATION_TYPE_Kindergarten,0.08610867767393908,1
ORGANIZATION_TYPE_Legal Services,0.03496758304407688,1
ORGANIZATION_TYPE_Medicine,0.07825729512169344,1
ORGANIZATION_TYPE_Military,0.129884861359589,1
ORGANIZATION_TYPE_Mobile,0.008286759783705666,1
ORGANIZATION_TYPE_Other,0.03977122336264883,1
ORGANIZATION_TYPE_Police,0.07319207504087383,1
ORGANIZATION_TYPE_Postal,0.02304993182209193,1
ORGANIZATION_TYPE_Realtor,0.0677841845798712,1
ORGANIZATION_TYPE_Religion,0.0,1
ORGANIZATION_TYPE_Restaurant,0.06284008515556513,1
ORGANIZATION_TYPE_School,0.19840995384687884,1
ORGANIZATION_TYPE_Security,0.007575857031369442,1
ORGANIZATION_TYPE_Security Ministries,0.07237950778075795,1
ORGANIZATION_TYPE_Self-employed,0.19461415459625042,1
ORGANIZATION_TYPE_Services,0.011159029598031436,1
ORGANIZATION_TYPE_Telecom,0.02115863244068067,1
ORGANIZATION_TYPE_Trade: type 1,0.0019228406172411667,1
ORGANIZATION_TYPE_Trade: type 2,0.03762717916688971,1
ORGANIZATION_TYPE_Trade: type 3,0.018159195380333493,1
ORGANIZATION_TYPE_Trade: type 4,0.004101565204474195,1
ORGANIZATION_TYPE_Trade: type 5,0.0,1
ORGANIZATION_TYPE_Trade: type 6,0.027862998142100366,1
ORGANIZATION_TYPE_Trade: type 7,0.006680175360889878,1
ORGANIZATION_TYPE_Transport: type 1,0.006132155657576892,1
ORGANIZATION_TYPE_Transport: type 2,0.017204633031437832,1
ORGANIZATION_TYPE_Transport: type 3,0.13938430717348688,1
ORGANIZATION_TYPE_Transport: type 4,0.027504417780350437,1
ORGANIZATION_TYPE_University,0.009904288534549619,1
ORGANIZATION_TYPE_XNA,0.003943423564831056,1
FONDKAPREMONT_MODE_not specified,0.06484635923652164,1
FONDKAPREMONT_MODE_org spec account,0.016038871361401252,1
FONDKAPREMONT_MODE_reg oper account,0.02538896441747312,1
FONDKAPREMONT_MODE_reg oper spec account,0.0411662387395075,1
HOUSETYPE_MODE_block of flats,0.013148687699848683,1
HOUSETYPE_MODE_specific housing,0.03929672097834413,1
HOUSETYPE_MODE_terraced house,0.013072612291990339,1
WALLSMATERIAL_MODE_Block,0.03144189160754515,1
WALLSMATERIAL_MODE_Mixed,0.036537269299402375,1
WALLSMATERIAL_MODE_Monolithic,0.005341983169539167,1
WALLSMATERIAL_MODE_Others,0.034696510357162653,1
WALLSMATERIAL_MODE_Panel,0.09174274532501181,1
"WALLSMATERIAL_MODE_Stone, brick",0.1815393391176728,1
